,full_address,neighborhood,nid,sale_price,prediction,difference,shap
389,"2039 22nd Ave, San Francisco, CA 94116",2 - Parkside,2040,1361000,1372890,11890,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 22nd  Cons: 1) comp_price = 1333413 2) baths = 1.0 3) nid = 2040 
390,"1339 21st Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1710000,1413444,-296555,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.762714  Cons: 1) comp_price = 1215969 2) baths = 1.25 3) nid = 2050 
391,"515 20th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2300000,2012155,-287844,Pros: 1) year_sold = 2018 2) baths = 4.5 3) comp_price = 1962888  Cons: 1) lot_sf = 1560.0 2) nid = 1010 3) rooms = 8.5 
392,"527 20th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1958000,1727595,-230404,Pros: 1) year_sold = 2018 2) latitude = 37.777843 3) park_leased = ONST  Cons: 1) nid = 1010 2) rooms = 8.0 3) baths = 1.5 
393,"1354 21st Ave, San Francisco, CA 94121",2 - Central Sunset,2050,1450000,1421755,-28244,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.76246  Cons: 1) comp_price = 1198811 2) baths = 1.0 3) nid = 2050 
394,"2278 22nd Ave, San Francisco, CA 94116",2 - Parkside,2040,1305000,1507794,202794,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 22nd  Cons: 1) comp_price = 1418366 2) nid = 2040 3) longitude = -122.47906 
395,"2005 21st Ave, San Francisco, CA 94116",2 - Parkside,2040,1000000,1248031,248031,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 21st  Cons: 1) comp_price = 1156058 2) baths = 1.0 3) nid = 2040 
396,"1027 Santiago St, San Francisco, CA 94116",2 - Parkside,2040,1650000,1572842,-77157,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Santiago  Cons: 1) lot_sf = 1658.0 2) nid = 2040 3) longitude = -122.47828999999999 
397,"2110 21st Ave, San Francisco, CA 94116",2 - Parkside,2040,1425000,1223568,-201431,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 21st  Cons: 1) comp_price = 1277836 2) baths = 1.0 3) lot_sf = 1624.0 
398,"2146 21st Ave, San Francisco, CA 94116",2 - Parkside,2040,1500000,1319594,-180405,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 21st  Cons: 1) comp_price = 1206985 2) baths = 1.0 3) nid = 2040 
399,"2163 21st Ave, San Francisco, CA 94116",2 - Parkside,2040,1575000,1431865,-143134,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1374840 2) baths = 1.0 3) nid = 2040 
400,"1440 Moraga St, San Francisco, CA 94122",2 - Central Sunset,2050,1380000,1295801,-84198,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.756046000000005  Cons: 1) comp_price = 1163819 2) baths = 1.0 3) nid = 2050 
401,"575 19th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1800000,1525879,-274120,Pros: 1) year_sold = 2018 2) latitude = 37.777126 3) park_leased = ONST  Cons: 1) comp_price = 1308283 2) nid = 1010 3) longitude = -122.47808 
402,"2940 22nd Ave, San Francisco, CA 94132",3 - Merced Manor,3060,2105888,1923292,-182595,Pros: 1) year_sold = 2018 2) comp_price = 1964323 3) lot_sf = 4225.0  Cons: 1) latitude = 37.733707 2) nid = 3060 3) longitude = -122.47791000000001 
403,"1527 20th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1120000,1408063,288063,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.75922  Cons: 1) comp_price = 1286115 2) baths = 1.0 3) nid = 2050 
404,"2425 21st Ave, San Francisco, CA 94116-2409",2 - Parkside,2040,2000000,1696585,-303414,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) beds = 5 2) nid = 2040 3) comp_price = 1580957 
405,"1855 20th Ave, San Francisco, CA 94122",2 - Central Sunset,2050,1450000,1456593,6593,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.753914  Cons: 1) comp_price = 1299365 2) nid = 2050 3) longitude = -122.47753 
406,"180 18th Ave, San Francisco, CA 94121",1 - Lake Street,1040,1000000,1335576,335576,Pros: 1) year_sold = 2018 2) latitude = 37.784657 3) rooms = 3.5  Cons: 1) comp_price = 1254537 2) lot_sf = 1440.0 3) nid = 1040 
407,"1118 Quintara St, San Francisco, CA 94116-1227",2 - Parkside,2040,1100000,1239473,139473,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Quintara  Cons: 1) comp_price = 1112576 2) lot_sf = 1873.0 3) nid = 2040 
408,"1957 20th Ave, San Francisco, CA 94116",2 - Parkside,2040,1450000,1377721,-72278,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 20th  Cons: 1) comp_price = 1259562 2) baths = 1.0 3) nid = 2040 
409,"2039 20th Ave, San Francisco, CA 94116",2 - Parkside,2040,1480000,1578885,98885,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 20th  Cons: 1) nid = 2040 2) rooms = 8.0 3) comp_price = 1582548 
410,"255 Summit Way, San Francisco, CA 94132",3 - Stonestown,3040,1600000,1391896,-208103,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) baths = 2.5  Cons: 1) latitude = 37.71492 2) lot_sf = 1427.0 3) comp_price = 1522805 
411,"2153 20th Ave, San Francisco, CA 94116",2 - Parkside,2040,1650000,1960176,310176,Pros: 1) year_sold = 2018 2) comp_price = 1918899 3) baths = 3.0  Cons: 1) nid = 2040 2) longitude = -122.47708999999999 3) beds = 3 
412,"1933 Ulloa St, San Francisco, CA 94116-2414",2 - Parkside,2040,1335000,1455756,120756,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Ulloa  Cons: 1) baths = 1.0 2) nid = 2040 3) lot_sf = 2495.0 
413,"648 18th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1375000,1587922,212922,Pros: 1) year_sold = 2018 2) latitude = 37.775729999999996 3) park_leased = ONST  Cons: 1) baths = 1.0 2) comp_price = 1487719 3) nid = 1010 
414,"2457 20th Ave, San Francisco, CA 94116",2 - Parkside,2040,1325000,1458315,133315,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 3998.0  Cons: 1) comp_price = 1288836 2) nid = 2040 3) sf = 1175 
415,"1751 19th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1150000,1732300,582300,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) nid = 2060 2) rooms = 7.0 3) longitude = -122.47658 
416,"1672 19th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1100000,1251528,151528,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.75694  Cons: 1) comp_price = 1166328 2) baths = 1.0 3) nid = 2060 
417,"2691 20th Ave, San Francisco, CA 94116",2 - Parkside,2040,1450000,1791852,341852,Pros: 1) year_sold = 2018 2) comp_price = 1979919 3) baths = 3.0  Cons: 1) lot_sf = 2060.0 2) nid = 2040 3) rooms = 8.0 
418,"352 17th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,2141000,2351307,210307,Pros: 1) comp_price = 2573489 2) year_sold = 2018 3) latitude = 37.781433  Cons: 1) nid = 1010 2) beds = 4 3) longitude = -122.47623 
419,"368 17th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1810000,1818700,8700,Pros: 1) year_sold = 2018 2) latitude = 37.78118 3) comp_price = 1781499  Cons: 1) baths = 1.0 2) nid = 1010 3) longitude = -122.47621000000001 
420,"4146 Fulton St, San Francisco, CA 94121",1 - Central Richmond,1010,1994146,2089213,95067,Pros: 1) year_sold = 2018 2) comp_price = 2223044 3) baths = 3.5  Cons: 1) lot_sf = 1498.0 2) rooms = 9.0 3) nid = 1010 
421,"511 17th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1775000,1825069,50069,Pros: 1) year_sold = 2018 2) latitude = 37.778248 3) park_leased = ONST  Cons: 1) nid = 1010 2) longitude = -122.47600600000001 3) view_count = 1 
422,"3028 20th Ave, San Francisco, CA 94132",3 - Merced Manor,3060,1638000,1766509,128509,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) latitude = 37.732185 2) nid = 3060 3) longitude = -122.476 
423,"575 17th Ave, San Francisco, CA 94121",1 - Central Richmond,1010,1600000,1855378,255378,Pros: 1) year_sold = 2018 2) comp_price = 1912552 3) latitude = 37.777225  Cons: 1) nid = 1010 2) baths = 1.5 3) rooms = 7.0 
424,"1539 18th Ave, San Francisco, CA 94122-3410",2 - Inner Sunset,2060,1710000,1554588,-155411,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.759125  Cons: 1) nid = 2060 2) beds = 4 3) comp_price = 1584584 
425,"1118 Noriega St, San Francisco, CA 94122-4516",2 - Inner Sunset,2060,1428800,1370601,-58198,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.754284000000006  Cons: 1) comp_price = 1169855 2) nid = 2060 3) lot_sf = 2500.0 
426,"1118 Noriega, San Francisco, CA 94122",2 - Inner Sunset,2060,1500000,1559697,59697,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.754284000000006  Cons: 1) comp_price = 1430834 2) nid = 2060 3) lot_sf = 2500.0 
427,"2424 19th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1080000,1356615,276615,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1400708 2) baths = 1.0 3) nid = 2070 
428,"1863 18th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1625000,1514902,-110097,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.753147  Cons: 1) comp_price = 1397990 2) nid = 2060 3) lot_sf = 2495.0 
429,"2933 19th Ave, San Francisco, CA 94132",3 - Merced Manor,3060,1850000,2797319,947319,Pros: 1) comp_price = 3131195 2) year_sold = 2018 3) lot_sf = 6372.0  Cons: 1) rooms = 10.0 2) beds = 6 3) latitude = 37.73383 
430,"2027 18th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1700000,1492333,-207666,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) comp_price = 1469892 2) rooms = 9.0 3) beds = 5 
431,"2083 18th Ave, San Francisco, CA 94116-1249",2 - Inner Parkside,2070,1550000,1539112,-10887,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 18th  Cons: 1) nid = 2070 2) beds = 4 3) comp_price = 1583019 
432,"2070 18th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,2010000,1774773,-235226,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) nid = 2070 2) beds = 4 3) rooms = 7.0 
433,"1140 Lawton St, San Francisco, CA 94122",2 - Inner Sunset,2060,1850000,2038075,188075,Pros: 1) year_sold = 2018 2) comp_price = 1925295 3) baths = 3.0  Cons: 1) nid = 2060 2) beds = 4 3) rooms = 7.0 
434,"2944 19th Ave, San Francisco, CA 94132",3 - Lakeside,3050,1100000,1636179,536179,Pros: 1) year_sold = 2018 2) lot_sf = 4715.0 3) park_leased = ONST  Cons: 1) baths = 1.5 2) latitude = 37.73427 3) nid = 3050 
435,"2151 18th Ave, San Francisco, CA 94116-1857",2 - Inner Parkside,2070,1450000,1190888,-259111,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 18th  Cons: 1) comp_price = 1093947 2) baths = 1.0 3) nid = 2070 
436,"1139 Moraga St, San Francisco, CA 94122",2 - Inner Sunset,2060,1630000,1518471,-111528,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.756176  Cons: 1) comp_price = 1306358 2) nid = 2060 3) lot_sf = 2495.0 
437,"1383 17th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1406000,1297929,-108070,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.762229999999995  Cons: 1) comp_price = 1129225 2) baths = 1.0 3) nid = 2060 
438,"615 16th Ave, San Francisco, CA 94118",1 - Central Richmond,1010,2165000,1873160,-291839,Pros: 1) year_sold = 2018 2) comp_price = 1953395 3) latitude = 37.77637  Cons: 1) nid = 1010 2) lot_sf = 2060.0 3) rooms = 8.0 
439,"5337 California St, San Francisco, CA 94118",1 - Lake Street,1040,2001224,1738367,-262856,Pros: 1) year_sold = 2018 2) latitude = 37.784344 3) baths = 3.0  Cons: 1) nid = 1040 2) lot_sf = 2250.0 3) beds = 4 
440,"727 16th Ave, San Francisco, CA 94118",1 - Central Richmond,1010,1705000,1535132,-169867,Pros: 1) year_sold = 2018 2) latitude = 37.77431 3) park_leased = ONST  Cons: 1) comp_price = 1340271 2) nid = 1010 3) longitude = -122.47465 
441,"5326 California St, San Francisco, CA 94118",1 - Lake Street,1040,2975000,2362652,-612347,Pros: 1) comp_price = 2649180 2) year_sold = 2018 3) latitude = 37.78436  Cons: 1) rooms = 11.0 2) nid = 1040 3) beds = 5 
442,"1622 17th Ave, San Francisco, CA 94122-3407",2 - Inner Sunset,2060,1665000,1492722,-172277,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.7577  Cons: 1) comp_price = 1403142 2) baths = 1.0 3) nid = 2060 
443,"234 Denslowe Dr, San Francisco, CA 94132",3 - Lakeside,3050,1435000,1271485,-163514,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 3868.0  Cons: 1) comp_price = 1053473 2) latitude = 37.720642 3) baths = 1.5 
444,"1673 17th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,2500000,1858432,-641567,Pros: 1) year_sold = 2018 2) baths = 4.0 3) park_leased = ONST  Cons: 1) rooms = 9.0 2) beds = 5 3) nid = 2060 
445,"1706 17th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1715000,1395525,-319474,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.755959999999995  Cons: 1) comp_price = 1284216 2) nid = 2060 3) baths = 1.5 
446,"2639 18th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1775000,1721063,-53936,Pros: 1) year_sold = 2018 2) comp_price = 1812206 3) park_leased = ONST  Cons: 1) nid = 2070 2) baths = 1.5 3) latitude = 37.7386 
447,"2643 18th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,2100000,1783807,-316192,Pros: 1) year_sold = 2018 2) comp_price = 1842751 3) park_leased = ONST  Cons: 1) nid = 2070 2) latitude = 37.738537 3) longitude = -122.47431 
448,"2675 18th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1600000,1674449,74449,Pros: 1) year_sold = 2018 2) lot_sf = 4316.0 3) park_leased = ONST  Cons: 1) comp_price = 1519317 2) nid = 2070 3) latitude = 37.738018 
449,"1925 17th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1755000,1859564,104564,Pros: 1) year_sold = 2018 2) baths = 4.0 3) park_leased = ONST  Cons: 1) nid = 2070 2) rooms = 8.0 3) longitude = -122.474174 
450,"267 15th Ave, San Francisco, CA 94118-1012",1 - Central Richmond,1010,2125000,1857937,-267062,Pros: 1) year_sold = 2018 2) comp_price = 1970959 3) latitude = 37.78317  Cons: 1) baths = 1.0 2) nid = 1010 3) rooms = 8.0 
451,"1941 17th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1625000,1388362,-236637,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.751682  Cons: 1) comp_price = 1362258 2) baths = 1.0 3) nid = 2070 
452,"1983 17th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1750000,1796955,46955,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) nid = 2070 2) rooms = 7.0 3) longitude = -122.47411000000001 
453,"141 Stonecrest Dr, San Francisco, CA 94132",3 - Lakeside,3050,1918000,1838131,-79868,Pros: 1) year_sold = 2018 2) comp_price = 1889450 3) lot_sf = 4647.0  Cons: 1) rooms = 9.0 2) latitude = 37.727825 3) nid = 3050 
454,"70 Beachmont Dr, San Francisco, CA 94132",3 - Lakeside,3050,2050000,2318823,268823,Pros: 1) comp_price = 2524618 2) year_sold = 2018 3) lot_sf = 4996.0  Cons: 1) rooms = 9.0 2) latitude = 37.73312 3) nid = 3050 
455,"1260 16th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1500000,1870998,370998,Pros: 1) year_sold = 2018 2) baths = 3.0 3) latitude = 37.764454  Cons: 1) nid = 2060 2) longitude = -122.47395 3) view_count = 1 
456,"552 15th Ave, San Francisco, CA 94118",1 - Central Richmond,1010,2172000,1742761,-429238,Pros: 1) year_sold = 2018 2) latitude = 37.777676 3) park_leased = ONST  Cons: 1) nid = 1010 2) rooms = 8.0 3) baths = 1.5 
457,"1418 16th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1600000,1421641,-178358,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.761359999999996  Cons: 1) comp_price = 1348329 2) baths = 1.0 3) nid = 2060 
458,"587 15th Ave, San Francisco, CA 94118",1 - Central Richmond,1010,2000000,1642876,-357123,Pros: 1) year_sold = 2018 2) latitude = 37.777134000000004 3) comp_price = 1784053  Cons: 1) nid = 1010 2) lot_sf = 1938.0 3) rooms = 8.0 
459,"224 Stratford Dr, San Francisco, CA 94132",3 - Lakeside,3050,1555000,1408287,-146712,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 3606.0  Cons: 1) comp_price = 1388314 2) latitude = 37.72094 3) nid = 3050 
460,"1325 Lake St, San Francisco, CA 94118",1 - Lake Street,1040,2275000,2118879,-156120,Pros: 1) year_sold = 2018 2) comp_price = 2145798 3) latitude = 37.78627  Cons: 1) beds = 6 2) rooms = 9.0 3) nid = 1040 
461,"2601 17th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1485000,1449078,-35921,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 17th  Cons: 1) comp_price = 1527095 2) nid = 2070 3) rooms = 8.0 
462,"52 Broadmoor Dr, San Francisco, CA 94132",3 - Lakeside,3050,2200000,1892086,-307913,Pros: 1) year_sold = 2018 2) baths = 3.5 3) lot_sf = 4870.0  Cons: 1) latitude = 37.727707 2) rooms = 8.0 3) nid = 3050 
463,"1832 16th Ave, San Francisco, CA 94122-4540",2 - Golden Gate Heights,2010,2000000,2793474,793474,Pros: 1) comp_price = 3066848 2) year_sold = 2018 3) lot_sf = 4463.0  Cons: 1) nid = 2010 2) beds = 4 3) rooms = 7.0 
464,"34 Lagunitas Dr, San Francisco, CA 94132",3 - Lakeside,3050,2200000,2855197,655197,Pros: 1) comp_price = 3188939 2) year_sold = 2018 3) lot_sf = 4948.0  Cons: 1) latitude = 37.733414 2) nid = 3050 3) beds = 4 
465,"39 Rossmoor Dr, San Francisco, CA 94132",3 - Lakeside,3050,2551013,2411153,-139859,Pros: 1) comp_price = 2635883 2) year_sold = 2018 3) lot_sf = 5771.0  Cons: 1) rooms = 9.0 2) latitude = 37.730335 3) nid = 3050 
466,"179 14th Ave, San Francisco, CA 94118",1 - Lake Street,1040,3700000,2751147,-948852,Pros: 1) comp_price = 3161548 2) year_sold = 2018 3) latitude = 37.784890000000004  Cons: 1) rooms = 10.0 2) nid = 1040 3) beds = 4 
467,"1200 Pacheco St, San Francisco, CA 94116",2 - Inner Parkside,2070,1830000,2011794,181794,Pros: 1) year_sold = 2018 2) comp_price = 1948059 3) baths = 3.0  Cons: 1) nid = 2070 2) longitude = -122.47308999999998 3) beds = 3 
468,"701 Quintara St, San Francisco, CA 94116-1262",2 - Inner Parkside,2070,1300000,1552218,252218,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) lot_sf = 1603.0 2) nid = 2070 3) rooms = 8.0 
469,"2050 16th Ave, San Francisco, CA 94116",2 - Golden Gate Heights,2010,1938000,1735157,-202842,Pros: 1) year_sold = 2018 2) comp_price = 1809964 3) park_leased = ONST  Cons: 1) rooms = 9.0 2) nid = 2010 3) beds = 4 
470,"2347 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1625000,1561758,-63241,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) comp_price = 1693759  Cons: 1) baths = 1.0 2) nid = 2070 3) lot_sf = 2465.0 
471,"2330 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1550000,1372046,-177953,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 16th  Cons: 1) comp_price = 1291324 2) nid = 2070 3) lot_sf = 2164.0 
472,"2110 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1620000,1363654,-256345,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 16th  Cons: 1) comp_price = 1174710 2) nid = 2070 3) longitude = -122.47285 
473,"2172 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1538000,1593385,55385,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) comp_price = 1696657  Cons: 1) rooms = 10.0 2) nid = 2070 3) longitude = -122.47277 
474,"1386 15th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,1274000,1201677,-72322,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) latitude = 37.762264  Cons: 1) comp_price = 1037087 2) baths = 1.0 3) nid = 2060 
475,"26 Ardenwood Way, San Francisco, CA 94132",4 - West Portal,4160,1760000,1986328,226328,Pros: 1) year_sold = 2018 2) comp_price = 2098461 3) park_leased = ONST  Cons: 1) latitude = 37.735459999999996 2) nid = 4160 3) longitude = -122.472626 
476,"27 Ardenwood Way, San Francisco, CA 94132",4 - West Portal,4160,2375000,2110475,-264524,Pros: 1) year_sold = 2018 2) comp_price = 2250217 3) baths = 3.0  Cons: 1) rooms = 8.0 2) latitude = 37.735443 3) beds = 4 
477,"8 Ardenwood Way, San Francisco, CA 94132",4 - West Portal,4160,1700000,1971641,271641,Pros: 1) year_sold = 2018 2) comp_price = 2175318 3) park_leased = ONST  Cons: 1) rooms = 8.0 2) latitude = 37.735603000000005 3) nid = 4160 
478,"982 Junipero Serra Blvd, San Francisco, CA 94132",3 - Lakeside,3050,1715000,1669446,-45553,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) latitude = 37.720406 2) nid = 3050 3) longitude = -122.47251000000001 
479,"2416 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1250000,1415102,165102,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.5  Cons: 1) lot_sf = 788.0 2) comp_price = 1475390 3) nid = 2070 
480,"2430 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1520000,1488861,-31138,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 16th  Cons: 1) baths = 1.0 2) nid = 2070 3) comp_price = 1555685 
481,"2507 16th Ave, San Francisco, CA 94116",2 - Inner Parkside,2070,1600000,1521070,-78929,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 16th  Cons: 1) nid = 2070 2) comp_price = 1559329 3) rooms = 7.0 
482,"720 Junipero Serra Blvd, San Francisco, CA 94127",3 - Lakeside,3050,1841500,1829054,-12445,Pros: 1) year_sold = 2018 2) comp_price = 1854276 3) lot_sf = 4434.0  Cons: 1) latitude = 37.726288000000004 2) rooms = 8.0 3) nid = 3050 
483,"2223 Cecilia Ave, San Francisco, CA 94116-1832",2 - Inner Parkside,2070,1610000,1416919,-193080,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.25  Cons: 1) comp_price = 1303378 2) baths = 1.25 3) nid = 2070 
484,"1862 15th Ave, San Francisco, CA 94122",2 - Golden Gate Heights,2010,1775000,1813077,38077,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) nid = 2010 2) rooms = 7.0 3) longitude = -122.47203999999999 
485,"615 Junipero Serra Blvd, San Francisco, CA 94127",4 - Ingleside Terrace,4050,2300000,2092621,-207378,Pros: 1) year_sold = 2018 2) comp_price = 1930741 3) lot_sf = 4996.0  Cons: 1) latitude = 37.72781 2) nid = 4050 3) longitude = -122.4719 
486,"2024 15th Ave, San Francisco, CA 94116",2 - Golden Gate Heights,2010,1212000,1587496,375496,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 4094.0  Cons: 1) comp_price = 1388632 2) baths = 1.0 3) nid = 2010 
487,"2043 15th Ave, San Francisco, CA 94116",2 - Golden Gate Heights,2010,1880000,1779501,-100498,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 3950.0  Cons: 1) nid = 2010 2) rooms = 7.0 3) longitude = -122.471825 
488,"257 Beverly St, San Francisco, CA 94132",3 - Merced Heights,3020,1600000,1821121,221121,Pros: 1) year_sold = 2018 2) baths = 4.0 3) comp_price = 1823620  Cons: 1) latitude = 37.720757 2) nid = 3020 3) beds = 4 
489,"1347 14th Ave, San Francisco, CA 94122",2 - Inner Sunset,2060,2065000,1849778,-215221,Pros: 1) year_sold = 2018 2) comp_price = 1836566 3) park_leased = ONST  Cons: 1) nid = 2060 2) longitude = -122.47161000000001 3) view_count = 1 
490,"2316 15th Ave, San Francisco, CA 94116-2502",2 - Inner Parkside,2070,1928000,1741056,-186943,Pros: 1) year_sold = 2018 2) baths = 4.0 3) park_leased = ONST  Cons: 1) beds = 5 2) comp_price = 1528796 3) nid = 2070 
491,"800 Lawton St, San Francisco, CA 94122",2 - Golden Gate Heights,2010,2600000,2125532,-474467,Pros: 1) year_sold = 2018 2) baths = 3.5 3) view_count = 8  Cons: 1) nid = 2010 2) longitude = -122.47145 3) rooms = 6.5 
492,"65 Lunado Way, San Francisco, CA 94127",4 - Ingleside Terrace,4050,2351000,1962311,-388688,Pros: 1) year_sold = 2018 2) lot_sf = 5680.0 3) comp_price = 1932405  Cons: 1) latitude = 37.722941999999996 2) rooms = 8.0 3) beds = 4 
493,"1851 14th Ave, San Francisco, CA 94122",2 - Golden Gate Heights,2010,1655000,1809050,154050,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) rooms = 9.0 2) beds = 5 3) nid = 2010 
494,"2563 15th Ave, San Francisco, CA 94127-1311",2 - Inner Parkside,2070,1860000,1606575,-253424,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) baths = 1.0 2) nid = 2070 3) longitude = -122.47115 
495,"1355 Holloway Ave, San Francisco, CA 94132",4 - Ingleside Terrace,4050,2550000,2354621,-195378,Pros: 1) year_sold = 2018 2) comp_price = 2292175 3) lot_sf = 5750.0  Cons: 1) latitude = 37.72163 2) rooms = 8.0 3) nid = 4050 
496,"2575 15th Ave, San Francisco, CA 94127",2 - Inner Parkside,2070,1800000,1573865,-226134,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = 15th  Cons: 1) baths = 1.0 2) nid = 2070 3) longitude = -122.47113999999999 
497,"2048 14th Ave, San Francisco, CA 94116-1310",2 - Golden Gate Heights,2010,1730000,1456903,-273096,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.5  Cons: 1) comp_price = 1413586 2) nid = 2010 3) baths = 1.5 
498,"2733 15th Ave, San Francisco, CA 94127-1433",4 - West Portal,4160,3500000,2882224,-617775,Pros: 1) comp_price = 3357640 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 7.5 2) beds = 4 3) latitude = 37.737316 
